Tanggal,Waktu,Katulampa,Pos Depok,Manggarai,Istiqlal,Jembatan Merah,Flusing Ancol,Marina Ancol,Status Banjir,,
23/02/2020,0:00:00,39,129,672,217,195,,170,1,,
23/02/2020,1:00:00,38,124,696,241,218,314,177,1,,
23/02/2020,2:00:00,38,138,845,275,247,314,178,1,,
23/02/2020,3:00:00,38,112,885,308,270,325,182,1,,
23/02/2020,4:00:00,38,125,880,305,270,327,191,1,,
23/02/2020,5:00:00,38,119,865,289,263,339,193,1,,
23/02/2020,6:00:00,38,124,846,273,247,346,197,0,,
23/02/2020,7:00:00,40,114,819,258,238,360,203,0,,
23/02/2020,8:00:00,41,117,796,245,2290,364,210,0,,
23/02/2020,9:00:00,40,121,779,235,222,363,211,0,,
23/02/2020,10:00:00,42,121,761,229,217,360,209,0,,
23/02/2020,11:00:00,42,119,745,222,211,353,206,0,,
23/02/2020,12:00:00,41,126,731,215,203,346,197,0,,
23/02/2020,13:00:00,40,122,475,207,193,336,185,0,,
23/02/2020,14:00:00,40,119,708,195,186,320,175,0,,
23/02/2020,15:00:00,41,124,687,189,177,315,163,0,,
23/02/2020,16:00:00,40,124,668,185,178,308,156,0,,
23/02/2020,17:00:00,40,125,660,190,177,298,148,0,,
23/02/2020,18:00:00,40,124,656,200,181,279,146,0,,
23/02/2020,19:00:00,39,124,645,206,185,282,146,0,,
23/02/2020,20:00:00,38,123,653,206,187,289,150,0,,
23/02/2020,21:00:00,38,125,650,207,189,287,159,0,,
23/02/2020,22:00:00,37,125,649,207,190,305,163,0,,
23/02/2020,23:00:00,37,119,672,212,195,302,167,0,,
24/02/2020,0:00:00,36,127,673,207,194,311,173,0,,
24/02/2020,1:00:00,36,117,671,192,187,301,173,0,,
24/02/2020,2:00:00,36,124,668,182,180,299,171,0,,
24/02/2020,3:00:00,40,127,667,174,175,305,173,0,,
24/02/2020,4:00:00,84,128,669,171,173,305,177,0,,
24/02/2020,5:00:00,88,122,672,170,176,315,182,0,,
24/02/2020,6:00:00,90,123,675,171,181,325,187,0,,
24/02/2020,7:00:00,97,120,677,174,183,332,195,0,,
24/02/2020,8:00:00,86,163,689,178,187,343,199,0,,
24/02/2020,9:00:00,78,162,685,182,193,315,206,0,,
24/02/2020,10:00:00,78,145,682,185,197,308,208,0,,
24/02/2020,11:00:00,77,123,680,186,198,303,204,0,,
24/02/2020,12:00:00,72,163,475,184,194,297,198,0,,
24/02/2020,13:00:00,72,155,682,180,189,283,190,0,,
24/02/2020,14:00:00,77,171,721,176,180,272,177,0,,
24/02/2020,15:00:00,83,146,722,172,175,256,165,0,,
24/02/2020,16:00:00,81,183,729,173,170,250,158,0,,
24/02/2020,17:00:00,76,190,740,188,173,245,152,0,,
24/02/2020,18:00:00,71,162,748,209,187,239,154,0,,
24/02/2020,19:00:00,68,161,751,218,197,248,154,0,,
24/02/2020,20:00:00,66,140,752,226,201,246,156,0,,
24/02/2020,21:00:00,64,171,749,228,204,254,163,0,,
24/02/2020,22:00:00,63,128,754,228,210,268,173,0,,
24/02/2020,23:00:00,62,163,769,227,212,281,183,0,,
25/02/2020,0:00:00,61,126,791,222,212,270,180,1,,
25/02/2020,1:00:00,61,168,845,249,233,270,180,1,,
25/02/2020,2:00:00,61,147,883,273,255,271,185,1,,
25/02/2020,3:00:00,68,175,891,273,261,276,190,1,,
25/02/2020,4:00:00,80,162,902,274,260,266,188,1,,
25/02/2020,5:00:00,76,114,938,306,277,267,196,1,,
25/02/2020,6:00:00,72,117,961,324,291,266,191,1,,
25/02/2020,7:00:00,71,189,948,323,292,275,197,1,,
25/02/2020,8:00:00,71,147,939,321,291,290,203,1,,
25/02/2020,9:00:00,73,86,926,320,292,317,207,1,,
25/02/2020,10:00:00,70,140,914,315,291,356,208,1,,
25/02/2020,11:00:00,67,130,905,306,290,323,211,1,,
25/02/2020,12:00:00,65,129,913,292,282,318,202,0,,
25/02/2020,13:00:00,63,115,905,268,266,323,194,0,,
25/02/2020,14:00:00,63,151,892,242,250,280,187,0,,
25/02/2020,15:00:00,64,116,880,221,229,275,176,0,,
25/02/2020,16:00:00,63,156,866,205,214,281,170,0,,
25/02/2020,17:00:00,63,121,854,191,203,297,162,0,,
25/02/2020,18:00:00,61,130,842,182,190,291,158,0,,
25/02/2020,19:00:00,60,115,832,169,178,317,157,0,,
25/02/2020,20:00:00,59,117,819,157,168,306,153,0,,
25/02/2020,21:00:00,58,116,809,150,164,321,157,1,,
25/02/2020,22:00:00,58,111,799,144,160,326,163,1,,
25/02/2020,23:00:00,57,107,786,141,158,343,159,1,,
16/03/2020,0:00:00,29,127,635,197,180,187,135,1,,
16/03/2020,1:00:00,29,134,636,199,186,193,135,1,,
16/03/2020,2:00:00,28,130,657,202,190,196,135,1,,
16/03/2020,3:00:00,27,130,684,203,192,198,135,1,,
16/03/2020,4:00:00,27,129,697,205,194,200,135,1,,
16/03/2020,5:00:00,27,127,701,208,197,198,135,1,,
16/03/2020,6:00:00,26,124,699,205,193,195,136,1,,
16/03/2020,7:00:00,26,124,692,203,191,195,136,1,,
16/03/2020,8:00:00,26,123,684,202,187,183,136,0,,
16/03/2020,9:00:00,25,120,676,192,178,183,136,0,,
16/03/2020,10:00:00,25,120,668,187,169,162,165,0,,
16/03/2020,11:00:00,25,121,662,177,156,152,133,0,,
16/03/2020,12:00:00,24,121,,169,148,147,132,0,,
16/03/2020,13:00:00,24,120,655,163,140,138,133,0,,
16/03/2020,14:00:00,26,119,655,158,140,134,134,0,,
16/03/2020,15:00:00,31,120,647,155,140,137,132,0,,
16/03/2020,16:00:00,38,150,647,154,140,141,133,0,,
16/03/2020,17:00:00,44,145,672,155,140,143,134,0,,
16/03/2020,18:00:00,52,158,709,156,143,151,134,0,,
16/03/2020,19:00:00,75,158,731,161,152,159,138,1,,
16/03/2020,20:00:00,65,131,760,169,160,165,138,1,,
16/03/2020,21:00:00,57,199,778,172,162,170,139,1,,
16/03/2020,22:00:00,52,149,794,176,167,174,139,1,,
16/03/2020,23:00:00,48,131,796,179,170,175,142,1,,
17/03/2020,0:00:00,45,127,794,176,168,175,138,1,,
17/03/2020,1:00:00,42,115,789,176,168,178,139,1,,
17/03/2020,2:00:00,40,104,782,184,175,184,138,1,,
17/03/2020,3:00:00,39,117,778,185,178,185,139,1,,
17/03/2020,4:00:00,38,111,782,187,179,187,138,1,,
17/03/2020,5:00:00,37,107,786,189,181,188,140,1,,
17/03/2020,6:00:00,36,103,790,189,181,187,141,1,,
17/03/2020,7:00:00,34,96,787,188,180,186,141,1,,
17/03/2020,8:00:00,33,101,783,185,177,180,144,1,,
17/03/2020,9:00:00,32,100,769,178,169,175,142,1,,
17/03/2020,10:00:00,31,106,756,168,159,161,167,0,,
17/03/2020,11:00:00,31,104,742,157,144,146,155,0,,
17/03/2020,12:00:00,31,98,730,148,140,134,142,0,,
17/03/2020,13:00:00,30,96,719,136,140,125,139,0,,
17/03/2020,14:00:00,29,103,710,129,140,116,130,0,,
17/03/2020,15:00:00,29,102,703,125,140,115,129,0,,
17/03/2020,16:00:00,28,97,696,125,140,119,131,0,,
17/03/2020,17:00:00,28,91,689,125,140,122,133,0,,
17/03/2020,18:00:00,29,99,687,127,140,126,149,0,,
17/03/2020,19:00:00,28,95,683,131,140,130,142,0,,
17/03/2020,20:00:00,28,100,680,136,140,133,142,0,,
17/03/2020,21:00:00,28,167,676,137,140,137,144,0,,
17/03/2020,22:00:00,29,168,673,141,140,140,143,0,,
17/03/2020,23:00:00,29,166,669,144,140,142,146,0,,
1/4/2020,0:00:00,41,105,711,160,161,172,193,1,,
1/4/2020,1:00:00,40,108,734,161,163,174,110,1,,
1/4/2020,2:00:00,39,111,741,163,165,173,184,1,,
1/4/2020,3:00:00,39,99,738,167,170,183,197,1,,
1/4/2020,4:00:00,39,106,737,170,176,182,195,1,,
1/4/2020,5:00:00,38,103,732,175,172,185,198,1,,
1/4/2020,6:00:00,38,101,726,175,174,182,195,1,,
1/4/2020,7:00:00,38,106,719,136,164,172,184,1,,
1/4/2020,8:00:00,38,110,710,170,156,164,177,0,,
1/4/2020,9:00:00,-20,103,703,160,143,151,166,0,,
1/4/2020,10:00:00,36,99,693,145,140,144,157,0,,
1/4/2020,11:00:00,-20,101,689,140,140,136,149,0,,
1/4/2020,12:00:00,-20,102,695,140,140,131,145,0,,
1/4/2020,13:00:00,-20,99,690,135,140,128,144,0,,
1/4/2020,14:00:00,-20,102,690,135,140,128,142,0,,
1/4/2020,15:00:00,-20,98,685,135,140,122,139,0,,
1/4/2020,16:00:00,-20,110,673,135,140,126,142,0,,
1/4/2020,17:00:00,-20,103,672,135,140,132,157,0,,
1/4/2020,18:00:00,55,109,671,135,140,135,164,0,,
1/4/2020,19:00:00,48,108,670,140,140,138,174,0,,
1/4/2020,20:00:00,43,98,668,140,140,140,174,0,,
1/4/2020,21:00:00,40,104,656,140,140,144,181,0,,
1/4/2020,22:00:00,38,107,658,140,140,147,183,0,,
1/4/2020,23:00:00,37,111,663,140,140,149,184,0,,
2/4/2020,0:00:00,36,101,663,101,141,151,184,0,,
2/4/2020,1:00:00,35,102,661,102,143,154,189,0,,
2/4/2020,2:00:00,35,93,660,93,146,156,187,0,,
2/4/2020,3:00:00,35,89,660,89,148,158,193,0,,
2/4/2020,4:00:00,37,85,668,85,150,159,195,0,,
2/4/2020,5:00:00,36,89,677,89,152,161,198,0,,
2/4/2020,6:00:00,36,94,685,94,154,164,199,0,,
2/4/2020,7:00:00,36,90,687,90,157,168,195,0,,
2/4/2020,8:00:00,36,87,683,87,159,170,188,0,,
2/4/2020,9:00:00,36,89,681,89,160,168,180,0,,
2/4/2020,10:00:00,-20,85,676,85,149,156,171,0,,
2/4/2020,11:00:00,-20,85,666,85,140,144,159,0,,
2/4/2020,12:00:00,-20,85,667,85,140,136,151,0,,
2/4/2020,13:00:00,-20,99,665,99,140,129,141,0,,
2/4/2020,14:00:00,35,100,662,100,140,123,128,0,,
2/4/2020,15:00:00,-20,98,660,98,140,121,126,0,,
2/4/2020,16:00:00,34,101,659,101,140,124,122,0,,
2/4/2020,17:00:00,34,89,658,89,140,128,122,0,,
2/4/2020,18:00:00,34,87,657,87,140,132,121,0,,
2/4/2020,19:00:00,34,88,656,88,140,137,121,0,,
2/4/2020,20:00:00,34,91,656,91,140,139,122,0,,
2/4/2020,21:00:00,33,100,655,100,140,141,185,0,,
2/4/2020,22:00:00,33,87,650,87,140,144,185,0,,
2/4/2020,23:00:00,34,93,651,93,140,145,189,0,,
19/05/2020,0:00:00,43,185,737,295,196,198,194,1,,
19/05/2020,1:00:00,41,173,764,304,190,192,191,1,,
19/05/2020,2:00:00,39,165,788,254,204,192,185,1,,
19/05/2020,3:00:00,38,157,801,257,205,191,185,1,,
19/05/2020,4:00:00,37,151,800,261,206,187,181,1,,
19/05/2020,5:00:00,36,149,796,269,208,186,178,1,,
19/05/2020,6:00:00,36,145,805,276,213,185,182,1,,
19/05/2020,7:00:00,35,142,791,276,217,188,183,1,,
19/05/2020,8:00:00,35,141,776,284,219,182,180,1,,
19/05/2020,9:00:00,35,140,755,286,220,185,176,1,,
19/05/2020,10:00:00,34,139,746,285,220,179,175,1,,
19/05/2020,11:00:00,34,137,732,278,219,185,174,1,,
19/05/2020,12:00:00,31,135,717,262,207,181,172,1,,
19/05/2020,13:00:00,33,132,689,251,202,179,178,1,,
19/05/2020,14:00:00,32,130,680,245,197,183,178,1,,
19/05/2020,15:00:00,29,130,678,241,195,182,180,1,,
19/05/2020,16:00:00,29,128,672,237,194,188,189,1,,
19/05/2020,17:00:00,30,127,665,236,197,196,196,1,,
19/05/2020,18:00:00,30,126,663,248,201,204,204,1,,
19/05/2020,19:00:00,31,125,660,265,201,201,207,1,,
19/05/2020,20:00:00,30,124,666,293,197,209,212,1,,
19/05/2020,21:00:00,29,124,665,298,194,207,214,1,,
19/05/2020,22:00:00,30,123,662,287,192,205,213,1,,
19/05/2020,23:00:00,32,123,657,278,191,204,211,1,,
20/05/2020,0:00:00,29,122,653,273,188,201,209,0,,
20/05/2020,1:00:00,30,123,650,269,187,205,203,0,,
20/05/2020,2:00:00,30,122,647,240,180,200,200,0,,
20/05/2020,3:00:00,30,110,650,220,185,205,195,0,,
20/05/2020,4:00:00,30,110,645,220,180,204,187,0,,
20/05/2020,5:00:00,30,110,640,210,180,202,179,0,,
20/05/2020,6:00:00,30,110,640,210,170,205,171,0,,
20/05/2020,7:00:00,30,110,635,210,165,204,,0,,
20/05/2020,8:00:00,30,110,635,210,165,205,169,0,,
20/05/2020,9:00:00,30,110,635,210,165,201,176,0,,
20/05/2020,10:00:00,30,110,635,210,165,204,174,0,,
20/05/2020,11:00:00,30,105,635,210,165,204,177,0,,
20/05/2020,12:00:00,30,105,635,210,165,200,184,0,,
20/05/2020,13:00:00,30,105,635,210,170,200,183,0,,
20/05/2020,14:00:00,30,105,635,210,175,204,186,0,,
20/05/2020,15:00:00,20,105,635,210,180,205,192,0,,
20/05/2020,16:00:00,20,105,635,210,180,202,195,0,,
20/05/2020,17:00:00,30,110,630,210,185,200,198,1,,
20/05/2020,18:00:00,40,130,630,220,195,205,212,1,,
20/05/2020,19:00:00,50,150,635,280,200,200,220,1,,
20/05/2020,20:00:00,60,170,635,280,190,200,209,1,,
20/05/2020,21:00:00,60,175,640,280,195,203,220,1,,
20/05/2020,22:00:00,140,175,650,300,195,205,218,0,,
20/05/2020,23:00:00,110,200,650,,190,202,206,0,,
3/6/2020,0:00:00,36,140,605,217,208,170,201,1,,
3/6/2020,1:00:00,34,150,604,214,202,195,198,1,,
3/6/2020,2:00:00,31,147,606,211,195,184,190,1,,
3/6/2020,3:00:00,29,140,633,205,190,176,182,1,,
3/6/2020,4:00:00,28,132,667,204,183,176,182,1,,
3/6/2020,5:00:00,27,130,685,207,182,175,182,1,,
3/6/2020,6:00:00,25,130,688,210,187,180,187,1,,
3/6/2020,7:00:00,24,129,693,214,195,188,195,1,,
3/6/2020,8:00:00,23,123,684,220,198,192,197,1,,
3/6/2020,9:00:00,22,117,686,221,201,195,204,1,,
3/6/2020,10:00:00,20,110,683,223,205,202,206,1,,
3/6/2020,11:00:00,20,108,679,224,205,182,208,1,,
3/6/2020,12:00:00,22,107,674,226,211,197,205,1,,
3/6/2020,13:00:00,19,106,670,226,206,184,203,1,,
3/6/2020,14:00:00,21,104,695,225,205,183,200,1,,
3/6/2020,15:00:00,20,104,690,223,205,189,209,1,,
3/6/2020,16:00:00,19,102,669,228,214,206,220,1,,
3/6/2020,17:00:00,20,101,660,236,223,188,232,1,,
3/6/2020,18:00:00,22,100,649,237,223,187,243,1,,
3/6/2020,19:00:00,21,100,642,250,205,216,250,1,,
3/6/2020,20:00:00,21,99,638,258,229,223,248,1,,
3/6/2020,21:00:00,21,99,654,266,230,230,244,1,,
3/6/2020,22:00:00,21,98,653,260,235,234,240,1,,
3/6/2020,23:00:00,20,100,651,257,235,223,233,1,,
4/5/2020,0:00:00,20,100,647,245,253,216,224,1,,
4/5/2020,1:00:00,19,101,645,212,205,208,218,1,,
4/5/2020,2:00:00,19,101,643,192,218,199,210,1,,
4/5/2020,3:00:00,19,100,641,190,192,187,199,1,,
4/5/2020,4:00:00,19,100,639,178,170,178,191,1,,
4/5/2020,5:00:00,19,99,638,168,165,173,186,1,,
4/5/2020,6:00:00,20,98,619,166,166,169,183,1,,
4/5/2020,7:00:00,18,98,613,165,170,170,186,1,,
4/5/2020,8:00:00,17,98,612,168,168,171,190,1,,
4/5/2020,9:00:00,16,98,612,189,177,178,193,1,,
4/5/2020,10:00:00,16,97,612,212,193,195,201,1,,
4/5/2020,11:00:00,20,97,611,222,197,193,206,1,,
4/5/2020,12:00:00,13,97,623,244,201,200,212,1,,
4/5/2020,13:00:00,20,97,623,268,193,172,207,1,,
4/5/2020,14:00:00,12,97,622,254,186,168,211,1,,
4/5/2020,15:00:00,17,96,623,259,182,170,216,1,,
4/5/2020,16:00:00,17,99,622,257,181,168,216,1,,
4/5/2020,17:00:00,16,99,623,254,173,161,227,1,,
4/5/2020,18:00:00,18,99,622,252,171,155,233,1,,
4/5/2020,19:00:00,16,99,621,251,171,163,248,1,,
4/5/2020,20:00:00,18,98,620,250,167,164,253,1,,
4/5/2020,21:00:00,16,98,619,251,171,171,256,1,,
4/5/2020,22:00:00,16,96,618,252,160,176,249,1,,
4/5/2020,23:00:00,17,93,617,251,178,182,245,1,,
5/6/2020,0:00:00,170,93,616,251,214,184,231,1,,
5/6/2020,1:00:00,170,92,616,251,191,187,222,1,,
5/6/2020,2:00:00,170,92,616,250,195,191,214,1,,
5/6/2020,3:00:00,160,93,616,250,198,195,198,1,,
5/6/2020,4:00:00,160,93,616,208,202,183,1910,1,,
5/6/2020,5:00:00,160,93,615,194,190,169,176,1,,
5/6/2020,6:00:00,160,93,614,183,179,163,172,1,,
5/6/2020,7:00:00,160,93,614,176,181,165,172,1,,
5/6/2020,8:00:00,140,92,614,177,184,166,174,1,,
5/6/2020,9:00:00,140,92,613,177,185,177,181,1,,
5/6/2020,10:00:00,130,92,612,186,175,179,183,1,,
5/6/2020,11:00:00,120,93,610,190,178,189,188,1,,
5/6/2020,12:00:00,140,93,610,201,179,196,193,1,,
5/6/2020,13:00:00,120,92,610,234,181,198,196,1,,
5/6/2020,14:00:00,120,93,608,239,198,198,201,1,,
5/6/2020,15:00:00,80,93,610,241,198,190,208,1,,
5/6/2020,16:00:00,150,92,611,240,195,190,208,1,,
5/6/2020,17:00:00,140,92,612,241,200,190,219,1,,
5/6/2020,18:00:00,150,92,612,242,193,187,228,1,,
5/6/2020,19:00:00,150,91,611,241,202,187,244,1,,
5/6/2020,20:00:00,160,91,611,241,192,186,253,1,,
5/6/2020,21:00:00,150,90,621,245,189,198,259,1,,
5/6/2020,22:00:00,180,91,623,252,213,201,251,1,,
5/6/2020,23:00:00,240,90,623,249,203,200,241,1,,
25/07/2020,0:00:00,10,71,578,226,115,170,217,0,,
25/07/2020,1:00:00,30,70,578,226,116,170,214,0,,
25/07/2020,2:00:00,20,71,578,225,116,171,205,0,,
25/07/2020,3:00:00,20,71,576,225,117,171,203,0,,
25/07/2020,4:00:00,30,71,575,225,117,171,198,0,,
25/07/2020,5:00:00,20,71,574,225,118,171,192,0,,
25/07/2020,6:00:00,20,71,574,225,118,173,182,0,,
25/07/2020,7:00:00,40,70,574,225,121,175,176,0,,
25/07/2020,8:00:00,20,70,574,225,115,167,171,0,,
25/07/2020,9:00:00,20,69,574,225,109,162,164,0,,
25/07/2020,10:00:00,20,69,573,226,100,161,163,0,,
25/07/2020,11:00:00,30,71,574,226,109,162,1650,0,,
25/07/2020,12:00:00,20,71,574,227,111,164,169,0,,
25/07/2020,13:00:00,20,70,574,226,112,165,172,0,,
25/07/2020,14:00:00,20,70,574,226,113,166,178,0,,
25/07/2020,15:00:00,30,71,574,226,113,166,183,0,,
25/07/2020,16:00:00,20,69,575,226,114,168,186,0,,
25/07/2020,17:00:00,30,69,575,226,116,169,188,0,,
25/07/2020,18:00:00,30,70,575,225,117,170,193,0,,
25/07/2020,19:00:00,30,70,575,226,117,171,197,0,,
25/07/2020,20:00:00,10,70,575,226,117,172,199,0,,
25/07/2020,21:00:00,10,70,575,226,117,172,200,0,,
25/07/2020,22:00:00,10,67,574,226,118,173,204,0,,
25/07/2020,23:00:00,10,67,574,226,119,173,205,0,,
26/07/2020,0:00:00,10,68,574,225,119,176,204,0,,
26/07/2020,1:00:00,40,69,573,225,119,177,200,0,,
26/07/2020,2:00:00,20,72,5730,225,120,177,193,0,,
26/07/2020,3:00:00,20,73,572,224,120,178,191,0,,
26/07/2020,4:00:00,20,74,572,224,120,178,185,0,,
26/07/2020,5:00:00,30,74,571,224,121,179,183,0,,
26/07/2020,6:00:00,20,74,571,224,121,179,179,0,,
26/07/2020,7:00:00,30,72,571,224,119,176,175,0,,
26/07/2020,8:00:00,20,70,571,224,117,173,171,0,,
26/07/2020,9:00:00,30,67,571,225,111,168,166,0,,
26/07/2020,10:00:00,40,68,571,196,112,170,168,0,,
26/07/2020,11:00:00,30,69,573,212,112,170,171,0,,
26/07/2020,12:00:00,30,68,573,220,113,171,172,0,,
26/07/2020,13:00:00,40,71,573,223,114,172,177,0,,
26/07/2020,14:00:00,30,70,573,224,114,173,182,0,,
26/07/2020,15:00:00,30,70,574,224,115,173,189,0,,
26/07/2020,16:00:00,30,69,575,225,116,174,197,0,,
26/07/2020,17:00:00,30,68,575,225,117,175,196,0,,
26/07/2020,18:00:00,30,69,575,225,118,177,197,0,,
26/07/2020,19:00:00,20,68,575,225,119,177,196,0,,
26/07/2020,20:00:00,10,68,575,225,120,178,201,0,,
26/07/2020,21:00:00,10,68,575,225,120,178,199,0,,
26/07/2020,22:00:00,10,67,574,225,121,178,196,0,,
26/07/2020,23:00:00,10,67,574,225,121,179,195,0,,
12/8/2020,0:00:00,70,107,613,235,127,170,166,0,,
12/8/2020,1:00:00,70,101,612,235,115,156,154,0,,
12/8/2020,2:00:00,80,96,607,235,115,149,147,0,,
12/8/2020,3:00:00,70,93,601,234,115,148,144,0,,
12/8/2020,4:00:00,60,90,596,234,115,145,143,0,,
12/8/2020,5:00:00,60,86,593,233,115,146,152,0,,
12/8/2020,6:00:00,50,84,591,232,115,149,157,0,,
12/8/2020,7:00:00,60,81,594,232,115,149,164,0,,
12/8/2020,8:00:00,60,80,601,232,115,151,170,0,,
12/8/2020,9:00:00,40,79,609,232,115,152,171,0,,
12/8/2020,10:00:00,40,78,610,232,115,154,177,0,,
12/8/2020,11:00:00,30,76,609,233,115,155,173,0,,
12/8/2020,12:00:00,50,75,607,234,115,156,178,0,,
12/8/2020,13:00:00,30,75,603,234,115,158,186,0,,
12/8/2020,14:00:00,30,75,599,234,115,159,189,0,,
12/8/2020,15:00:00,30,75,597,211,115,160,189,0,,
12/8/2020,16:00:00,30,74,594,186,125,169,200,1,,
12/8/2020,17:00:00,40,74,591,173,131,177,201,1,,
12/8/2020,18:00:00,30,75,589,171,134,180,212,1,,
12/8/2020,19:00:00,30,76,588,190,137,183,212,1,,
12/8/2020,20:00:00,20,75,586,212,137,183,202,1,,
12/8/2020,21:00:00,30,75,584,202,141,186,196,0,,
12/8/2020,22:00:00,30,74,583,191,144,190,187,0,,
12/8/2020,23:00:00,30,73,582,187,134,172,170,0,,
13/8/2020,0:00:00,30,73,580,174,121,163,159,0,,
13/8/2020,1:00:00,40,73,578,161,115,159,155,0,,
13/8/2020,2:00:00,30,73,577,156,115,159,155,0,,
13/8/2020,3:00:00,30,72,576,184,115,157,153,0,,
13/8/2020,4:00:00,50,72,575,204,115,155,157,0,,
13/8/2020,5:00:00,30,71,575,220,115,156,162,0,,
13/8/2020,6:00:00,30,71,575,224,115,158,167,0,,
13/8/2020,7:00:00,40,71,575,227,115,159,175,0,,
13/8/2020,8:00:00,40,71,575,228,115,160,180,0,,
13/8/2020,9:00:00,30,70,575,229,115,162,182,0,,
13/8/2020,10:00:00,20,71,574,230,115,163,186,1,,
13/8/2020,11:00:00,20,71,576,233,118,165,188,1,,
13/8/2020,12:00:00,20,71,591,244,145,197,188,1,,
13/8/2020,13:00:00,30,71,582,243,151,198,193,1,,
13/8/2020,14:00:00,40,72,578,241,150,204,200,1,,
13/8/2020,15:00:00,50,72,609,242,162,210,203,1,,
13/8/2020,16:00:00,15,111,719,299,183,211,206,1,,
13/8/2020,17:00:00,52,105,695,313,169,223,208,1,,
13/8/2020,18:00:00,44,219,650,295,174,224,216,1,,
13/8/2020,19:00:00,34,196,643,280,178,224,223,1,,
13/8/2020,20:00:00,29,163,659,262,178,217,219,1,,
13/8/2020,21:00:00,26,149,679,225,176,205,213,1,,
13/8/2020,22:00:00,21,132,692,208,167,194,202,1,,
13/8/2020,23:00:00,20,142,688,191,151,194,190,1,,
21/09/2020,0:00:00,10,65,575,170,160,203,174,1,,
21/09/2020,1:00:00,10,65,575,170,160,198,172,1,,
21/09/2020,2:00:00,10,80,57,160,155,195,181,1,,
21/09/2020,3:00:00,10,85,575,160,155,193,183,1,,
21/09/2020,4:00:00,10,85,575,170,160,193,183,1,,
21/09/2020,5:00:00,10,80,183,180,160,155,183,1,,
21/09/2020,6:00:00,10,75,183,200,160,153,183,1,,
21/09/2020,7:00:00,10,75,183,210,160,160,188,1,,
21/09/2020,8:00:00,10,75,575,220,160,162,195,1,,
21/09/2020,9:00:00,10,75,575,220,160,173,196,1,,
21/09/2020,10:00:00,10,70,575,225,160,180,212,1,,
